,buildingname,buildingaddress,buildingtype,greenmarkstatus,greenmarkrating,buildingsize,grossfloorarea,2017energyuseintensity,2018energyusintensity
1000,THE OCTAGON,"105 CECIL STREET, SINGAPORE 069534",Office,Yes,Certified,Large,"16,222",127.0,113.0
1005,WILKIE EDGE,"8 WILKIE ROAD, SINGAPORE 228095",Office,Yes,Gold,Large,"29,812",262.0,269.0
1014,PARK ROCHESTER AVENUE,"31 ROCHESTER DRIVE, SINGAPORE 138637",Hotel,Yes,Gold,Large,"18,881",162.0,164.0
1023,THE STAR VISTA,"1 VISTA EXCHANGE GREEN, SINGAPORE 138617",Retail,Yes,Gold,Large,"62,000",351.0,340.0
1027,SUNTEC CITY MALL,"3 TEMASEK BOULEVARD, SINGAPORE 038983",Office,Yes,Gold,Large,"454,084",298.0,303.0
1058,GALAXIS,"1 FUSIONOPOLIS PLACE, SINGAPORE 138522",Office,Yes,Platinum,Large,"68,839",184.0,185.0
1061,SEMBAWANG SHOPPING CENTRE,"604 SEMBAWANG ROAD, SINGAPORE 758459",Retail,Yes,Gold,Large,"19,146",504.0,488.0
1062,BUKIT TIMAH SHOPPING CENTRE,"170 UPPER BUKIT TIMAH ROAD, SINGAPORE 588179",Retail,Yes,Gold,Large,"29,985",148.0,156.0
1068,UOB PLAZA,"80 RAFFLES PLACE, SINGAPORE 048624",Office,Yes,GoldPlus,Large,"100,125",275.0,290.0
1070,UOB ALEXANDRA BUILDING,"396 ALEXANDRA ROAD, SINGAPORE 119954",Office,Yes,GoldPlus,Large,"30,469",657.0,701.0
1072,HDB HUB,"490 LORONG 6 TOA PAYOH, SINGAPORE 310490",Office,Yes,Platinum,Large,"187,345",219.0,216.0
1078,ESPLANADE MALL,"8 RAFFLES AVENUE, SINGAPORE 039802",Retail,Yes,Platinum,Large,"106,584",309.0,264.0
1082,PEOPLE'S ASSOCIATION,"9 KING GEORGES AVENUE, SINGAPORE 208581",Office,Yes,GoldPlus,Small,"14,647",147.0,145.0
1083,SINGAPORE BUSINESS FEDERATION CENTER,"160 ROBINSON ROAD, SINGAPORE 068914",Office,Yes,Platinum,Large,"28,189",127.0,148.0
1085,THE FLOW,"66 EAST COAST ROAD, SINGAPORE 428778",Retail,Yes,Certified,Small,"5,800",43.0,87.0
1086,PAYA LEBAR SQUARE,"60 PAYA LEBAR ROAD, SINGAPORE 409051",Office,Yes,GoldPlus,Large,"61,153",243.0,243.0
1097,NATIONAL INSTITUTE OF EDUCATION,"1 NANYANG WALK, SINGAPORE 637616",Univerisity,Yes,Platinum,Large,"109,181",80.0,79.0
